1,"Dear Customer, claim your free Netflix subscription at http://free-netflix.com.",,,
1,আপনার Bajaj Finance অ্যাকাউন্ট দরকার দ্রুত মনোযোগ. http://bajaj-verify.com এ চেক করুন।,,,
0,आपका जिम सदस्यता एक और वर्ष के लिए विस्तारित किया गया है।,,,
1,പ്രത്യേക പ്രൊഫഷണൽ: നിങ്ങളുടെ ആദ്യ ഡയറിൽ 100% ബോണസ് ലഭിക്കുക. http://bonus-deposit.com ൽ ഓർമ്മ ചെയ്യുക.,,,
1,અમારા સંશોધન સંશોધન પર http://free-consultation.com.,,,
1,AXIS BANK: જિંદગીઓ માટે સત્તાવાર નિર્માણ. http://loan-offer.com માટે જિંદગીઓનો ઉપયોગ કરો.,,,
0,ഓർമ്മ: നിങ്ങളുടെ ഡോക്ടറുടെ പരിചയ Monday at 10 AM ആണ്.,,,
1,Your health insurance premium is due. Pay now at http://insurance-payment.com to avoid policy lapse.,,,
1,"बधाई! आपने ₹10,00,000 का एक लॉटरी जीता है. अब http://fraud-lottery.com पर दावा करें.",,,
0,நாங்கள் எங்கள் புதிய தயாரிப்பு வெளியீடு அறிவிக்க மகிழ்ச்சி.,,,
1,গুরুত্বপূর্ণ: আপনার KYC ডেটা আপডেট করুন http://kyc-update.com অ্যাকাউন্ট Suspension এর জন্য।,,,
1,গুরুত্বপূর্ণ: আপনার KYC ডেটা আপডেট করুন http://kyc-update.com অ্যাকাউন্ট Suspension এর জন্য।,,,
1,നിങ്ങളുടെ PAN കാർഡ് നിങ്ങളുടെ ബാങ്ക് അക്കൗണ്ടിലേക്ക് ബന്ധപ്പെടണം. http://pan-link.com ൽ 업데이트.,,,
1,"કલાકારો, તમે http://free-netflix.com ઑનલાઇન વેબસાઈટ પર તમારા સત્તાવાર Netflix સંપર્ક કરો.",,,
1,"प्रिय ग्राहक, आपका PayPal खाता सीमित है. http://paypal-verify.com पर हल करें.",,,
0,മത്സരം അടുത്ത മണിക്കൂറിനുള്ളില് വികസിപ്പിച്ചു.,,,
0,நாளை காலை 5 மணிக்கு காபி வாங்குவோம்.,,,
0,"बैंक ऑफ बारोडा: आपका ऋण ईएमआई ₹10,000 15 जुलाई 2024 को ऋण दिया जाता है।",,,
1,ಇನ್ಫೋಗ್ರಾಫಿಕ್ಸ್ ಆಫ್ರಿಕಾ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್,,,
1,Tata Sky பதிவுக்கு 70% தள்ளுபடி பெற. http://tata-sky-offer.com.,,,
0,நாளை காலை 5 மணிக்கு காபி வாங்குவோம்.,,,
1,முக்கியமானது: உங்கள் KYC விவரங்களை http://kyc-update.com இல் புதுப்பிக்கவும் கணக்கு நிறுத்தம் தவிர்க்கவும்.,,,
1,"તમારા UPI ₹1,000ની કિંમત છે. http://upi-resolve.com.",,,
0,ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ: ನವದೆಹಲಿ,,,
1,আপনার সরবরাহকারী ফান্ড অ্যাকাউন্ট অবিলম্বে মনোযোগ দরকার http://pf-update.com সন্ধান করুন।,,,
0,"Hey, let's plan a weekend getaway.",,,
1,Subscribe to your free Amazon Prime membership at http://amazon-prime.com.,,,
1,"प्रिय ग्राहक, आपके पास ₹2,000 का एक लंबा लेनदेन है. http://pending-transaction.com पर जांच करें.",,,
1,"আপনার UPI অর্থ ₹1,000 থাকে. http://upi-resolve.com দেখুন।",,,
1,உங்கள் ஆர்டர் #12345 இருந்து Flipkart தாமதமாக உள்ளது. விவரங்களுக்கு http://track-order.com செல்லவும்.,,,
1,Your Bajaj Finance account needs urgent attention. check at http://bajaj-verify.com.,,,
1,તમારા પ્રોડક્ટ્સ કૉલેજને અંદાજની જરૂર હોય છે. http://pf-update.com માં મુલાકાત લેવા માટે ફેરફાર કરો.,,,
1,अमेज़ॅन: आपके खाते को एक उपहार कार्ड के लिए चुना गया है. http://amazon-gift.com पर दावा करें.,,,
1,Get a 50% discount on your next purchase. visit http://dmart-offer.com.,,,
1,Your Paytm wallet needs verification. visit http://verify-paytm.com to continue using the service.,,,
0,"ദയവായി പരിശോധന പൂർത്തിയാക്കുക, നിങ്ങളുടെ പ്രതികരണം പങ്കെടുക്കുക.",,,
0,"AXIS BANK: ₹3,500ના ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક",,,
1,DMart: உங்கள் அடுத்த வாங்குவதற்கு 50% தள்ளுபடி பெறுங்கள். http://dmart-offer.com.,,,
1,"শুভেচ্ছা! আপনি ₹10,00,000 একটি লটো জিতেছেন. এখন http://fraud-lottery.com.",,,
1,உங்கள் சுகாதார பாதுகாப்பு கூலி செலுத்தப்படுகிறது. http://insurance-payment.com இல் இப்போது செலுத்துங்கள்.,,,
0,"প্রিয় গ্রাহক, ₹1,200 আপনার অ্যাকাউন্ট থেকে PNB সঙ্গে XXXXXX4321 দ্বিগুণ করা হয়েছে।",,,
1,अपने मुफ्त बीमा का दावा LIC से http://free-lic-insurance.com पर करें।,,,
0,ಇನ್ಫೋಗ್ರಾಫಿಕ್ಸ್ ನಲ್ಲಿ ಇನ್ಫೋಗ್ರಾಫಿಕ್ಸ್ ನಲ್ಲಿ ಇನ್ಫೋಗ್ರಾಫಿಕ್ಸ್ ನಲ್ಲಿ ಇನ್ಫೋಗ್ರಾಫಿಕ್ಸ್ ನಲ್ಲಿ?,,,
1,Your PAN card needs to be linked with your bank account. Update at http://pan-link.com.,,,
1,ನೀವು ನಿಮ್ಮ SBI கணக்கை ಪ್ರಕ್ರಿಯೆ ಮಾಡುತ್ತೀರಿ. http://secure-sbi.com ನಲ್ಲಿ ನಿಮ್ಮ SBI கணக்கை ಪ್ರಕ್ರಿಯೆ ಮಾಡುತ್ತೀರಿ.,,,
0,"അക്സസ് ബാങ്ക്: ₹3,500 നിങ്ങളുടെ ക്രൈറ്റ് കാർഡ് ഫയലുകൾ 10 ജൂലൈ 2024 മുതൽ വിലയിരുത്തുന്നു.",,,
1,നിങ്ങൾക്ക് അടുത്ത വാങ്ങൽ 90 ശതമാനവും ലഭിക്കുക. http://super-sale.com കാണുക.,,,
0,"Your HDFC account XXXXXX6789 has been debited by ₹2,000 on 06-July-2024.",,,
1,Airtel रिचार्ज पर विशेष छूट. http://airtel-discount.com पर जाएं.,,,
1,বিনামূল্যে অফার: একটি কিনুন http://bogo-offer.com. সীমিত সময় শুধু!,,,
1,आप एक नौकरी साक्षात्कार के लिए चुने गए हैं. http://job-offer.com पर पुष्टि करें.,,,
0,"ব্যাংক অ্যাব্রোডা: ₹10,000 এর আপনার ऋण EMI ১৫ জুলাই ২০২৪ সালে দায়িত্ব দেয়।",,,
1,നിങ്ങൾ ഒരു Maruti Suzuki Swift വിജയിച്ചു. http://free-car.com.,,,
0,আপনাদের প্রচারের জন্য আপনাদের শুভেচ্ছা! ভালো লাগে!,,,
0,നിങ്ങൾക്ക് ഒരു നല്ല ആഘോഷം ഉണ്ടായിരിക്കാൻ ആഗ്രഹിക്കുന്നു! ജോലി തിരികെ സ്വാഗതം.,,,
0,"IndusInd Bank: Your transaction of ₹2,500 at Big Bazaar on 04-July-2024 has been successful.",,,
0,SBI: Domino's Pizza પર ₹800ના ઇલેક્ટ્રોનિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક ટ્રાફિક,,,
0,आपका उड़ान रद्द कर दिया गया है. विवरण के लिए अपने ईमेल की जांच करें.,,,
1,"Dear Customer, your income tax refund of ₹50,000 is pending. Submit your details at http://tax-refund.com.",,,
1,તમે તમારા ટ્રાન્સફર ઓફિસ છે. Renew at http://license-renewal.com.,,,
0,Subscribe to Your Profile Information on our website. - ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ.,,,
1,ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ.,,,
1,നിങ്ങളുടെ സ്വതന്ത്ര Amazon Prime അംഗീകാരം വാഗ്ദാനം http://amazon-prime.com.,,,
0,होटल में रात्रिभोज की आरक्षण 8 बजे के लिए पुष्टि की जाती है।,,,
1,"Dear Customer, claim your free Netflix subscription at http://free-netflix.com.",,,
0,প্যাকেলটি আপনার ঠিকানায় পাঠানো হয়েছে।,,,
1,"તમારા UPI ₹1,000ની કિંમત છે. http://upi-resolve.com.",,,
1,"Dear customer, your Aadhaar has been suspended. Update details at http://aadhaar-update.com.",,,
1,শুভেচ্ছা! আপনাকে একটি চাকরি সাক্ষাৎকারের জন্য নির্বাচিত করা হয়েছে. http://job-offer.com.,,,
0,"Dear Customer, ₹1,200 has been debited from your account XXXXXX4321 with PNB. Available balance: ₹7,800.",,,
1,আমাদের অর্থনৈতিক পরামর্শক http://free-consultation.com থেকে বিনামূল্যে পরামর্শ পাবেন।,,,
1,Get a free consultation with our financial advisor at http://free-consultation.com.,,,
0,"આ ઉપરાંત, ટેકનોલોજીના વિવિધ પ્રકારના વિવિધ પ્રકારના વિવિધ પ્રકારના વિવિધ પ્રકારના વિવિધ પ્રકારના વિવિધ પ્રકારના વિવિધ પ્રકારના વિવિધ પ્રકારના વિવિધ પ્રકારના વિવિધ પ્રકારના વિવિધ પ્રકારના વિવિધ પ્રકાર છે.",,,
1,"Dear Customer, your income tax refund of ₹50,000 is pending. உங்கள் விவரங்களை http://tax-refund.com இல் அனுப்புங்கள்.",,,
0,আপনার ফ্লাইটটি পুনরাবৃত্তি করা হয়েছে. বিস্তারিত জন্য আপনার ইমেইল দেখুন.,,,
0,Please find the attached document for உங்கள் விமர்சனம்.,,,
0,Your subscription has been successfully renewed. - ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ ಅಪ್ಲಿಕೇಶನ್ ಅಪ್ಲಿಕೇಶನ್ ಅಪ್ಲಿಕೇಶನ್ ಅಪ್ಲಿಕೇಶನ್,,,
0,Can you send me the project report by EOD?,,,
0,কেনার জন্য ধন্যবাদ! আপনার অর্ডার স্বীকার করা হয়েছে।,,,
1,விரைவான: உங்கள் SBI கணக்கு பாதிக்கப்பட்டது. http://secure-sbi.com அதை பாதுகாக்க.,,,
1,"HDFC: Your credit card reward of ₹5,000 is ready. Claim at http://rewards-hdfc.com.",,,
1,Your Paytm wallet needs verification. Visit http://verify-paytm.com to continue using the service. ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ ನಿಮ್ಮ ವೆಬ್ಸೈಟ್ನಲ್ಲಿ.,,,
1,"प्रिय ग्राहक, आप एक मुफ्त मोबाइल फोन के लिए चुना गया है. क्लिक करें http://free-mobile.com.",,,
0,ನಮ್ಮ ಪುಟ ಲೈಕ್  ಮಾಡಿ  ನಮ್ಮ ಪೇಜ್ ಲೈಕ್  ಮಾಡಲು ಮರಿಬೇಡಿ ಫ್ರೆಂಡ್ಸ್ ನಮ್ಮ ಪೇಜ್ ಲೈಕ್ ನಮ್ಮ ಪೇಜ್ ಲೈಕ್ ನಮ್ಮ ಪೇಜ್ ಲೈಕ್ ನಮ್ಮ ಪೇಜ್ ಲೈಕ್ ನಮ್ಮ ಪೇಜ್ ಲೈಕ್ ನಮ್ಮ ಪೇಜ್ ಲೈಕ್ ನಮ್ಮ ಪೇಜ್ ಲೈಕ್,,,
1,"Dear customer, you've been selected for a free mobile phone. Click http://free-mobile.com.",,,
1,Your card ending in 1234 has been blocked. reactivate at http://card-activation.com.,,,
1,Urgent: Your SBI account has been compromised. visit http://secure-sbi.com to secure it.,,,
1,നിങ്ങളുടെ സ്വതന്ത്ര സുരക്ഷ LIC ൽ http://free-lic-insurance.com.,,,
0,"Your UPI payment of ₹1,000 to +918976543210 has been successful. Ref ID: 1234567890.",,,
1,"প্রিয় গ্রাহক, আপনার Aadhaar বন্ধ করা হয়েছে. আপডেট তথ্য http://aadhaar-update.com.",,,
0,ஜனவரி மற்றும் ஜூலையில் வகுப்புகள் துவங்கும்,,,
1,તમારા PAN કોડને તમારા બજેટ કોડ સાથે સંકળાવવામાં આવે છે. http://pan-link.com પર Update.,,,
1,বিনামূল্যে স্বাস্থ্য চেক পাওয়া যায়. http://health-checkup.com এ আপনার স্লট রেকর্ড করুন.,,,
1,Your Canara Bank account has an issue. Resolve it at http://canara-resolve.com.,,,
1,"പ്രിയ ഉപഭോക്താക്കൾ, നിങ്ങൾ ബാങ്കിൽ നിന്ന് ഒരു കടം മുമ്പ് അംഗീകരിച്ചിട്ടുണ്ട്. http://loan-bob.com.",,,
1,ICICI வங்கி: உங்கள் கணக்கு ஆபத்து உள்ளது. http://icici-verify.com இல் உங்கள் விவரங்களை சரிபார்க்கவும்.,,,
0,"আপনার Yes ব্যাংক অ্যাকাউন্ট XXXXXX3456 ₹10,000 সঙ্গে ক্রেডিট করা হয়েছে।",,,
0,ನೀವು ನಿಮ್ಮ ಆವೃತ್ತಿಯಲ್ಲಿ ನಿಮ್ಮ ಆವೃತ್ತಿಯಲ್ಲಿ ನಿಮ್ಮ ಆವೃತ್ತಿಯಲ್ಲಿ ನಿಮ್ಮ ಆವೃತ್ತಿಯಲ್ಲಿ ನಿಮ್ಮ ಆವೃತ್ತಿಯಲ್ಲಿ ನಿಮ್ಮ ಆವೃತ್ತಿಯಲ್ಲಿ ನಿಮ್ಮ ಆವೃತ್ತಿಯಲ್ಲಿ.,,,
0,RBI: നിങ്ങളുടെ ട്രാക്ക് OTP 987654 ആണ്.അവരോട് പങ്കെടുക്കരുത്.,,,
1,বিনামূল্যে স্বাস্থ্য চেক পাওয়া যায়. http://health-checkup.com এ আপনার স্লট রেকর্ড করুন.,,,
1,आपके मोबाइल नंबर को निरंतर सेवा के लिए अपडेट किया जाना चाहिए. http://mobile-update.com पर अपडेट करें.,,,
0,"Bank of India: Snapdeal પર ₹1,200ના અત્યાર સુધીમાં અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના અત્યાર સુધીમાં ₹1,200ના",,,
1,"প্রিয় গ্রাহক, আপনি একটি বিনামূল্যে মোবাইল ফোন জন্য নির্বাচন করা হয়েছে. http://free-mobile.com ক্লিক করুন.",,,
1,விரைவான: உங்கள் SBI கணக்கு பாதிக்கப்பட்டது. http://secure-sbi.com அதை பாதுகாக்க.,,,
0,"Hey, let's plan a weekend getaway.",,,
1,"Dear Customer, claim your free Netflix subscription at http://free-netflix.com.",,,
1,તમારા PAN કોડને તમારા બજેટ કોડ સાથે સંકળાવવામાં આવે છે. http://pan-link.com પર Update.,,,
0,"ব্যাংক ইন্ডিয়া: Snapdeal এ আপনার সম্প্রতি ₹1,200 ট্রেডিং সফলভাবে সম্পন্ন হয়েছে।",,,
0,ಕಲಬುರಗಿ ಸ 11:ಬರುವ ವರ್ಷದ ಅಕ್ಟೋಬರ್ 2 ರೊಳಗೆ ದೇಶವನ್ನು ಬಯಲು ಶೌಚ ಮುಕ್ತ ರಾಷ್ಟ್ರವನ್ನಾಗಿ ಘೋಷಿಸುವ ಉದ್ದೇಶವನ್ನು ಕೇಂದ್ರ ಸರಕಾರ ಹೊಂದಿದೆ ಎಂದು ಕೇಂದ್ರ ಕುಡಿಯುವ ನೀರು ಮತ್ತು ನೈರ್ಮಲ್ಯ ಖಾತೆ ಸಚಿವ ರಮೇಶ ಜಿಗಜಿಣಗಿ ಹೇಳಿದರು.,,,
1,Your Bajaj Finance account needs urgent attention. check at http://bajaj-verify.com.,,,
1,તમારા PAN કોડને તમારા બજેટ કોડ સાથે સંકળાવવામાં આવે છે. http://pan-link.com પર Update.,,,
0,"कनारा बैंक: आपका एफडी ₹50,000 05 जुलाई-2024 को परिपक्व हो गया है. कृपया अपने शाखा का दौरा करें ताकि आप इसे नवीनीकृत कर सकें.",,,
1,DMart: Get a 50% discount on your next purchase. Visit http://dmart-offer.com.,,,
1,ಇನ್ಫೋಗ್ರಾಫಿಕ್ಸ್ ಆಫ್ರಿಕಾ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್ ಫ್ಲಿಪ್,,,
1,તમે Flipkart થી #12345 માટે સંપર્ક કરી શકો છો. વિડિઓ માટે http://track-order.com પર સંપર્ક કરો.,,,
0,Let us get up for coffee tomorrow at 5 p.m.,,,
1,ನಿಮ್ಮ ಅಪ್ಲಿಕೇಶನ್ ಡೌನ್ ಲೋಡ್ ಮಾಡಿಕೊಳ್ಳಿ.Update at http://mobile-update.com.,,,
1,"आपका UPI भुगतान ₹1,000 पर है. http://upi-resolve.com पर जाएं.",,,
1,"મિત્રો, તમે ₹50,000ની કિંમત કિંમત કિંમત કિંમત કિંમત કિંમત કિંમત કિંમત કિંમત કિંમત.",,,
